codigo,nome,enderezo,concello,provincia,cpostal,telf,latitude,longitude,titularidade,concertado,dependente
36001756,EEI de Arcos de Furcos,A Anllada,Cuntis,Pontevedra,36677,-,42.66373,-8.549879,Pública,Non,Si
32002781,CPI Tomás Terrón Mendaña,Sobradelo,Carballeda de Valdeorras,Ourense,32330,988335065,42.41678,-6.924863,Pública,Non,Si
36014866,CEIP Manuel Villar Paramá,Outeiro de Vea 6,Estrada (A),Pontevedra,36683,986586493,42.735237,-8.541983,Pública,Non,Si
27015979,CEIP Eduardo Cela Vila,Rúa do Castro s/n,Triacastela,Lugo,27630,982548001,42.757996,-7.237636,Pública,Non,Si
15010058,CPI do Feal,"Rúa Rio Seco, s/n (O Feal)",Narón,Coruña (A),15572,981384410,43.525887,-8.188328,Pública,Non,Si
27014860,CEIP A Gándara,Avenida Mª PAZ DE TOR s/n,Monforte de Lemos,Lugo,27400,982400158,42.531246,-7.5329733,Pública,Non,Si
15024513,CIFP Someso,Rúa Someso 6,Coruña (A),Coruña (A),15008,981282200,43.338642,-8.412233,Pública,Non,Si
27020811,EPAPU de Bonxe,Lugar de Bonxe,Outeiro de Rei,Lugo,27153,982393218,43.103535,-7.5815964,Pública,Non,Si
36014854,CEIP Plurilingüe de Oca,Oca (Santo Estevo),Estrada (A),Pontevedra,36685,986587665,42.74801,-8.3847885,Pública,Non,Si
36000247,CPI de Cova Terreña,Dolores Agrelo s/n,Baiona,Pontevedra,36300,986385900,42.116703,-8.852749,Pública,Non,Si
36024379,EMUSPR Unión Musical de Coruxo,Estrada DO BAO 65,Vigo,Pontevedra,36331,672106120,42.193665,-8.781628,Privada,Non,Non
32005305,CPI Laureano Prieto,Rúa Toural,Gudiña (A),Ourense,32540,988421140,42.062077,-7.1360493,Pública,Non,Si
27012048,IES Xograr Afonso Gómez de Sarria,"Rúa Anxel Fole, s/n (Zona escolar)",Sarria,Lugo,27600,982531051,42.773483,-7.407625,Pública,Non,Si
36009974,CEIP de Coutada-Beade,"Camiño do Alen, 6 (As Coutadas)",Vigo,Pontevedra,36312,986211813,42.19254,-8.701804,Pública,Non,Si
36010137,CEIP da Igrexa-Candeán,"San Cristovo, 97 (A Igrexa)",Vigo,Pontevedra,36317,986270905,42.241665,-8.667981,Pública,Non,Si
32016777,IES Carlos Casares,Estrada da Rúa 104,Viana do Bolo,Ourense,32550,988340086,42.18818,-7.103348,Pública,Non,Si
36015846,CEIP de Noalla-Telleiro,Carreira A Lanzada s/n,Sanxenxo,Pontevedra,36990,986745465,42.437458,-8.869507,Pública,Non,Si
32008847,CEIP Plurilingüe Amadeo Rodríguez Barroso,Rúa Serra de San Mamede 8,Ourense,Ourense,32005,988220883,42.32766,-7.8567696,Pública,Non,Si
32002951,CEIP Plurilingüe Calvo Sotelo,"Avenida de Compostela, s/n (Uceira)",Carballiño (O),Ourense,32500,988271419,42.438988,-8.0610895,Pública,Non,Si
15020969,CEIP Mosteiro de Caaveiro,As Neves,Capela (A),Coruña (A),15613,981459022,43.435547,-8.062839,Pública,Non,Si
36007643,CEIP Plurilingüe Outeiro das Penas,Cesantes (San Pedro),Redondela,Pontevedra,36693,986495262,42.307957,-8.605526,Pública,Non,Si
15001070,CPI de Cruz do Sar,"Rúa A Senra, 33 (Cruz do Sar)",Bergondo,Coruña (A),15165,981791401,43.319736,-8.22662,Pública,Non,Si
15032251,CRA Ponte da Pedra,"Rúa Vázquez de Parga 119 bloque 2, 1ºD",Carballo,Coruña (A),15100,981703403,43.219017,-8.687905,Pública,Non,Si
27016388,CEIP de Muimenta,Rúa Valmaior s/n,Cospeito,Lugo,27377,982504035,43.251728,-7.4306498,Pública,Non,Si
15025220,CEP Plurilingüe de Ventín,Ventin,Ames,Coruña (A),15895,981530042,42.85087,-8.588841,Pública,Non,Si
27020860,CPR WALDORF MENIÑEIROS,Rúa Donas,Friol,Lugo,,696495725,43.01882,-7.7136683,Privada,Non,Non
36020131,IES de Mos,Lugar As Pozas-Estivada,Mos,Pontevedra,36416,986338873,42.1969,-8.632772,Pública,Non,Si
27006383,CEIP A Ponte,Paseo de Alvaro Cunqueiro,Lugo,Lugo,27004,982221215,42.999214,-7.5615034,Pública,Non,Si
15027940,IES As Insuas,Rúa Agra de Baño s/n,Muros,Coruña (A),15259,981867620,42.79066,-9.06304,Pública,Non,Si
15014829,CEIP Pedro Barrié de la Maza,Rúa Miguel Pereiro Tacón s/n,Sada,Coruña (A),15168,981621025,43.354424,-8.276508,Pública,Non,Si
36000508,CEIP de Castrelo,Rúa A BOUZA 96,Cambados,Pontevedra,36639,986520004,42.4805,-8.807344,Pública,Non,Si
27016637,ESMU Municipal de Sober,Praza do Concello s/n - Casa da Cultura,Sober,Lugo,27460,982460513,42.462257,-7.586628,Pública,Non,Non
15026455,IES Terra de Trasancos,Camiño REAL s/n,Narón,Coruña (A),15570,981380033,43.514427,-8.18601,Pública,Non,Si
27020549,ESMU Municipal de Ribas de Sil,"Rúa  Colexios, s/n 00",Ribas de Sil,Lugo,27310,982428237,42.46697,-7.287137,Pública,Non,Non
36010204,CEIP Párroco Don Camilo,Estrada Matama-Pazo 104,Vigo,Pontevedra,36213,986296194,42.201057,-8.753597,Pública,Non,Si
36015792,CEIP Xulio Camba,Rúa Gonzalez Besada s/n,Vilanova de Arousa,Pontevedra,36620,986554250,42.560963,-8.826292,Pública,Non,Si
15021470,IES Canido,Rúa Navegantes s/n,Ferrol,Coruña (A),15401,981352763,43.487457,-8.239638,Pública,Non,Si
15002645,EEI de Encrucilladas,Encrucilladas 17,Carballo,Coruña (A),15107,981757198,43.247017,-8.698854,Pública,Non,Si
36014362,EEI de Agro-Baredo,"Rúa Cancelo, 37 (O Agro)",Baiona,Pontevedra,36309,986356388,42.105164,-8.871696,Pública,Non,Si
27006279,CPR Fingoi,Avenida Aviacion Española 37,Lugo,Lugo,27002,982221630,42.99823,-7.553964,Privada,Non,Non
27013934,IES Perdouro,Rúa do Instituto s/n,Burela,Lugo,27880,982575098,43.652077,-7.3569345,Pública,Non,Si
